smiles,solvent,absorption_nm,emission_nm,plqy,epsilon,scaffold
CC1=C(c2ccc[se]2)C(C)=[N+]2C1=C(c1c(C)cc(C)cc1C)c1c(C)c(-c3ccc[se]3)c(C)n1[B-]2(F)F,Cc1ccccc1,534.0,615.0,0.3100000023841858,,BODIPY
Cc1ccc(C2=C3C=CC(/C=C/c4ccccc4)=[N+]3[B-](F)(F)n3c(/C=C/c4ccccc4)ccc32)cc1,C1CCOC1,632.0,645.0,0.82,,BODIPY
CC(C)n1nc(C#CC(=O)c2ccc3cc(N(C)C)ccc3c2)c2c(N)ncnc21,O,482.0,628.0,0.0,20926.0,PAHs
CN(C)c1ccc2ccc3oc(=O)c(-c4ccccc4)nc3c2c1,c1ccccc1,474.0,608.0,0.1519999951124191,8900.0,Coumarin
CC1=CC(C)=[N+]2C1=C(c1ccccc1)c1c(C)c(/C=C/C3=CC(/C=C/c4c(C)c5n(c4C)[B-](F)(F)[N+]4=C(C)C=C(C)C4=C5c4ccccc4)=[O+][B-](F)(F)O3)c(C)n1[B-]2(F)F,C1CCOC1,615.0,638.0,0.1400000005960464,,BODIPY
CCc1c(C)[nH]c(C2=[N+]3C(=C(C)c4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CC#N,610.0,652.0,0.209999993443489,93325.0,BODIPY
CC(C)(C)c1cc2ccc3c(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)ccc4c5nc6cc(C#N)c(C#N)cc6nc5c(c1)c2c34,ClCCl,,839.0,,,Triphenylamine
Cc1cc(C)c(C2=C3C=CC(c4ccc[nH]4)=[N+]3[B-](F)(F)n3cccc32)c(C)c1,C1CCOC1,575.0,601.0,0.5699999928474426,,BODIPY
N#CC(C#N)=C(/C=C/c1ccc(N(c2ccccc2)c2ccc(/C=C/C(=C(C#N)C#N)c3ccccc3)cc2)cc1)c1ccccc1,CCO,514.0,633.0,0.0027999999001622,7461.0,Triphenylamine
COc1cccc(C2=CC3=C(c4c(C)cc(C)cc4C)c4cc(-c5cccc(OC)c5)c(-c5cccc(OC)c5)n4[B-](F)(F)[N+]3=C2c2cccc(OC)c2)c1,Cc1ccccc1,596.0,636.0,0.78,79432.8,BODIPY
O=[N+]([O-])c1ccc(/C=C/N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,438.0,637.0,0.0900000035762786,,6n6
CCCCNc1ccc(NCCCC)c2c1C(=O)c1ccccc1C2=O,C1CCCCC1,646.0,665.0,,,Acridines
CCC1(CC)c2ccc(/C=C/C3=C(C#N)C(=C(C#N)C#N)OC3(C)C)cc2-c2ccc(N(c3ccccc3)c3ccccc3)cc21,C1CCCCC1,544.0,624.0,0.2399999946355819,,Triphenylamine
COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3)c2ccccc12,CS(C)=O,575.0,639.0,0.25,,BODIPY
C[O+]=C1C=CC(=C2c3cc(-c4ccc(C=O)cc4)c(/C=C/c4ccc(C(F)(F)F)cc4)n3[B-](F)(F)N3C2C=C(c2ccc(C=O)cc2)C3/C=C/c2ccc(C(F)(F)F)cc2)C=C1,C1CCCCC1,645.0,662.5,0.5799999833106995,,BODIPY
CCCCCCCCCCCCC(CCCCCCCCCC)Cn1c2cc(C=C(C#N)C#N)c3cccc4c5cccc6c(C=C(C#N)C#N)cc1c(c65)c2c34,Cc1ccccc1,584.0,623.0,0.1379999965429306,32000.0,Carbazole
C=CCNc1ccc2c(ccc3[o+]c4cc(N(C)C)ccc4nc32)c1,CCO,601.0,650.0,0.050000000745058,17500.0,PAHs
C[N+]1=C(C=CC2=C3Oc4c(cc5c6c4CCCN6CCC5)C(c4ccccc4C(=O)O)=C3CCC2)C(C)(C)c2c1ccc1ccccc21,CC#N,742.0,780.0,0.2000000029802322,133058.0,Coumarin
CC1=CC(/C=C/c2ccc(N(C)C)cc2)=[N+]2C1=C(c1ccc(C#CCO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1)c1c(C)cc(/C=C/c3ccc(N(C)C)cc3)n1[B-]2(F)F,CC#N,701.0,770.0,0.2000000029802322,,BODIPY
CCN(CC)c1ccc(/C=C/C2=c3c(=O)oc4cc(N(CC)CC)ccc4c3=[O+][B-](F)(F)O2)cc1,CC(C)=O,584.0,636.0,0.02,,Coumarin
CN(C)c1ccc(C2=C3C=C(c4ccc(C#N)cc4)S[C@]34c3ccccc3[C@H]2c2ccccc24)cc1,ClCCl,451.0,601.0,0.7599999904632568,20000.0,Acridines
CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.0,663.0,,,5n6
